drug_name,side_effects,generic_name
raltegravir,"Stop taking this medicine and get emergency medical help if you have signs of an allergic reaction: fever, general ill feeling, tiredness, joint or muscle pain, trouble breathing; upper stomach pain, vomiting, loss of appetite, dark urine, yellowing of the skin or eyes; burning eyes, blisters or mouth sores; rash, hives , blistering or peeling skin; swelling of your face, lips, tongue, or throat. In rare cases, raltegravir can cause a condition that results in the breakdown of skeletal muscle tissue, leading to kidney failure . Call ",raltegravir
abacavir / lamivudine,Call ,abacavir and lamivudine
Prezcobix,"high blood sugar - increased thirst, increased urination, dry mouth, fruity breath odor, headache , blurred vision; or liver problems - upper stomach pain, vomiting, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Prezcobix affects your immune system, which may cause certain side effects (even weeks or months after you've taken this medicine). Tell ",cobicistat and darunavir
Viramune,"joint or muscle pain, fever, mouth sores, facial swelling, blistering skin rash, flu symptoms, swollen glands, feeling weak or tired, severe tingling or numbness , pain or burning when you urinate, swelling in your legs or feet, cough, chest pain, trouble breathing, or swelling in your lips, tongue, or throat. Viramune can cause life-threatening effects on the liver, especially in women. Call ",nevirapine
Combivir,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Mild symptoms of lactic acidosis may worsen over time , and this condition can be fatal. Get emergency medical help if you have: unusual muscle pain, trouble breathing, stomach pain, vomiting , irregular heart rate, dizziness, feeling cold, or feeling very weak or tired. Call ",lamivudine and zidovudine
Ziagen,Stop using Ziagen and call ,abacavir
zidovudine,"unusual muscle pain, trouble breathing, stomach pain, vomiting, irregular heart rate, dizziness, feeling cold, or feeling very weak or tired. Zidovudine may cause serious side effects. Call ",zidovudine (oral/injection)
atazanavir,"sudden dizziness (like you might pass out); severe pain in your lower stomach or back; painful urination, blood in your urine; high blood sugar--increased thirst, increased urination, dry mouth, fruity breath odor, headache , blurred vision; or liver or gallbladder problems-- nausea , vomiting , upper stomach pain, itching, fever, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Atazanavir affects your immune system, which may cause certain side effects (even weeks or months after you've taken this medicine). Tell ",atazanavir
emtricitabine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Early symptoms of lactic acidosis may get worse over time and this condition can be fatal. Get emergency medical help if you have even mild symptoms: muscle pain or weakness, numb or cold feeling in your arms and legs, trouble breathing, stomach pain, nausea with vomiting, fast or uneven heart rate, dizziness, or feeling very weak or tired. Call ",emtricitabine
Emtriva,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Early symptoms of lactic acidosis may get worse over time and this condition can be fatal. Get emergency medical help if you have even mild symptoms: muscle pain or weakness, numb or cold feeling in your arms and legs, trouble breathing, stomach pain, nausea with vomiting, fast or uneven heart rate, dizziness, or feeling very weak or tired. Call ",emtricitabine
Edurant,"skin rash, fever, swollen glands, flu-like symptoms, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. Call ",rilpivirine
Lexiva,"pale or yellowed skin, dark colored urine, fever, confusion or weakness; increased urination or extreme thirst; or high blood sugar - increased thirst, increased urination, dry mouth, fruity breath odor; or symptoms of kidney stones - sudden and severe pain in your lower back or side, blood in your urine, pain or burning when you urinate. Fosamprenavir affects your immune system, which may cause certain side effects (even weeks or months after you've taken this medicine). Tell ",fosamprenavir
nevirapine,"joint or muscle pain, fever, mouth sores, facial swelling, blistering skin rash, flu symptoms, swollen glands, feeling weak or tired, severe tingling or numbness , pain or burning when you urinate, swelling in your legs or feet, cough, chest pain, trouble breathing, or swelling in your lips, tongue, or throat. Nevirapine can cause life-threatening effects on the liver, especially in women. Call ",nevirapine
Retrovir,"unusual muscle pain, trouble breathing, stomach pain, vomiting, irregular heart rate, dizziness, feeling cold, or feeling very weak or tired. Retrovir may cause serious side effects. Call ",zidovudine (oral/injection)
Selzentry,"itching or rash, fever, swollen glands, muscle or joint aches, severe weakness, unusual bruising, upper stomach pain, vomiting, dark urine, or jaundice (yellowing of the skin or eyes). Call ",maraviroc
Juluca,"Stop taking this medicine and get emergency medical help if you have signs of an allergic reaction to Juluca: hives; difficult breathing; swelling of your face, lips, tongue, or throat. Seek medical treatment if you have a serious drug reaction that can affect many parts of your body. Symptoms may include skin rash, fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. Call ",dolutegravir and rilpivirine
Symtuza,"increased thirst, increased urination; kidney problems - swelling, urinating less, feeling tired or short of breath; lactic acidosis> - unusual muscle pain, trouble breathing, stomach pain, vomiting, irregular heart rate, dizziness , feeling cold, or feeling very weak or tired; or liver problems - nausea , upper stomach pain, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Symtuza can affect your immune system (even weeks or months after you've used Symtuza). Tell ","cobicistat, darunavir, emtricitabine, and tenofovir"
Trizivir,Call ,"abacavir, lamivudine, and zidovudine"
Epivir-HBV,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Mild symptoms of lactic acidosis may worsen over time , and this condition can be fatal. Get emergency medical help if you have: unusual muscle pain, trouble breathing, stomach pain, vomiting , irregular heart rate, dizziness , feeling cold, or feeling very weak or tired. Epivir HBV may cause serious side effects. Call ",lamivudine
etravirine,"skin rash, fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. Etravirine may cause serious side effects. Call ",etravirine
Isentress HD,"Stop taking this medicine and get emergency medical help if you have signs of an allergic reaction: fever, general ill feeling, tiredness, joint or muscle pain, trouble breathing; upper stomach pain, vomiting, loss of appetite, dark urine, yellowing of the skin or eyes; burning eyes, blisters or mouth sores; rash, hives , blistering or peeling skin; swelling of your face, lips, tongue, or throat. In rare cases, Isentress HD can cause a condition that results in the breakdown of skeletal muscle tissue, leading to kidney failure . Call ",raltegravir
lamivudine / tenofovir,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Lamivudine and tenofovir may cause serious side effects. Call ",lamivudine and tenofovir
lopinavir / ritonavir,"fast or pounding heartbeats, fluttering in your chest, shortness of breath, and sudden dizziness (like you might pass out); signs of a kidney stone--pain in your side or lower back, blood in your urine, painful or difficult urination; high blood sugar--increased thirst, increased urination, fruity breath odor, weight loss ; or signs of liver or pancreas problems--loss of appetite, upper stomach pain (that may spread to your back), nausea or vomiting, itching, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Lopinavir and ritonavir affects your immune system, which may cause certain side effects (even weeks or months after you've taken this medicine). Tell ",lopinavir and ritonavir
